lat, lon,theta,x,y,psi,vel,psi_dot,??,???
35.1950035,-97.439646318125.785733523,46.9726901136,-43.3904964231,-285191.408366,-2.10634420952E-05,3635.91931869,132259.569211,-132254.117458,-0.000787199886457
35.1950003275,-97.4396591806131.349299262,55.5631917817,-39.0140668018,-287512.419816,-4.55512488317E-07,7613.27879154,133407.963317,-133402.511892,-7.55243527038E-06
35.1950000169,-97.4396719756135.499621078,46.9598889439,-39.8664648114,-289775.007435,-9.69938773239E-09,3419.51368014,134530.777558,-134525.32614,-3.6339975896E-06
35.1950000009,-97.439678875140.811888696,45.7978669809,-43.9790472673,-292093.522704,-2.06729359985E-10,5437.74722317,135678.003889,-135672.552471,-3.61649278296E-06
35.1949961853,-97.4396908717146.021389605,45.1678828907,-38.4035482349,-294257.373839,-3.04275459751E-12,5478.47919105,136752.636334,-136747.184916,-3.61641458387E-06
35.1949959148,-97.4397012509150.678838263,47.6432619891,-42.8132903461,-296357.982348,-2.95696413384E-12,5612.15998196,137793.695471,-137788.244052,-3.61641423453E-06
35.1949929652,-97.4397057662155.518763909,42.1123110764,-45.5964126455,-298433.2076,-2.96176498453E-12,5363.82445373,138820.733456,-138815.282037,-3.61641423297E-06
35.1949921438,-97.4397096694160.24059074,41.0699990347,-44.515731946,-300464.400396,0.0102657414122,5022.9366522,139827.623363,-139822.096044,2.48191239172
35.1949906405,-97.4397183072162.310927554,37.3203858656,-44.560721787,-302392.138903,0.00208472909127,6009.45251932,140782.217195,-140776.01741,0.2865911089
35.1949900332,-97.4397281964161.883145613,27.8085874198,-45.9671412947,-304344.882822,4.43990224071E-05,2885.27484798,141747.515021,-141741.283105,0.00128607846814
35.1949851063,-97.4397333163163.164447151,38.0822964125,-45.3925379579,-306355.275777,9.45577154802E-07,5757.94825561,142741.146916,-142734.914316,1.15374905061E-05
35.19498247,-97.4397370784163.114976754,37.6911192086,-42.7182412832,-308370.634137,2.01378715639E-08,4968.01429934,143736.904257,-143730.671643,5.84374335692E-06
35.1949801278,-97.4397397729163.823387376,43.1829086818,-37.3414463965,-310301.03186,4.28169132366E-10,5648.9317817,144692.647687,-144686.415073,5.81830772388E-06
35.1949775345,-97.439748979163.578719308,43.732556354,-33.1465311586,-312217.889963,8.09656614772E-12,2833.66754745,145640.169002,-145633.936387,5.81819409547E-06
35.194976838,-97.4397571329164.450848445,41.4936626827,-37.5835424621,-314248.751158,3.03458451893E-12,5066.49621815,146643.648476,-146637.415861,5.81819358786E-06
35.1949733575,-97.4397611073164.648963538,41.3292646432,-41.7599941847,-316044.063185,2.9752719552E-12,4334.61506496,147530.840485,-147524.60787,5.81819358559E-06
35.1949716777,-97.4397655275165.297679111,41.7435745097,-42.2130651433,-318152.961701,3.09749884043E-12,4955.12094578,148574.222286,-148567.989672,5.81819358558E-06
35.1949700868,-97.4397688281166.068613384,40.2599374993,-36.9171496126,-319972.757351,3.07206511573E-12,7173.15872554,149471.887681,-149465.655066,5.81819358558E-06
35.1949664509,-97.4397739096166.070683597,34.8234073912,-31.959345864,-322042.428516,3.04265774436E-12,4839.80028201,150494.786147,-150488.553532,5.81819358558E-06
35.1949654544,-97.4397795267166.325883311,35.464185151,-27.7953817791,-323804.072892,3.09581092837E-12,4576.4338973,151367.476293,-151361.243678,5.81819358558E-06
35.194960508,-97.439787804167.116045864,32.4494653462,-31.918301582,-325891.383569,3.12893387327E-12,5234.23379634,152398.853024,-152392.620409,5.81819358558E-06
35.1949594368,-97.4397898293167.037134024,32.2547097929,-33.7451988938,-327701.192305,3.13888678607E-12,3866.37104658,153293.481169,-153287.248554,5.81819358558E-06
35.1949577899,-97.4397992096168.053895945,26.3829335657,-31.4436201977,-329736.026746,3.11870910533E-12,5259.18002844,154300.309843,-154294.077229,5.81819358558E-06
35.1949547691,-97.4398025629168.296222951,22.9328890182,-33.1089900844,-331671.283855,3.14081050034E-12,4994.92985205,155258.000036,-155251.767421,5.81819358558E-06
35.194953945,-97.4398039805168.734425307,23.3464355098,-29.9530470903,-333504.477662,3.10029676018E-12,6422.9014236,156163.857457,-156157.624842,5.81819358558E-06
35.1949502737,-97.439808346169.145704966,27.4676291637,-35.8407284299,-335496.406827,3.12485883752E-12,5001.32363679,157150.480842,-157144.248227,5.81819358558E-06
35.194947836,-97.4398098715169.518445313,21.682068518,-36.5811744539,-337405.891451,3.05869660429E-12,4961.40536494,158094.106005,-158087.87339,5.81819358558E-06
35.1949463795,-97.4398183176170.072243352,17.527165748,-35.0464478262,-339295.50849,3.09365414567E-12,5178.27354825,159028.936539,-159022.703924,5.81819358558E-06
35.1949433658,-97.439819873170.749197807,18.6609463775,-27.7862261793,-341175.764181,-0.00524639483753,5433.43767583,159957.213723,-159951.125514,-1.83467722037
35.1949425492,-97.4398283238173.860772821,20.8100831727,-31.2489724343,-343089.369441,-0.00435449026849,4690.8492216,160905.594455,-160900.156244,-0.543882085607
35.1949402364,-97.4398298693179.034737853,20.8410000061,-31.4974919838,-344834.756033,-0.000125287559626,6108.60444548,161768.726335,-161763.362946,-0.0060661468418
35.1949400122,-97.4398299898184.497928443,22.9696978465,-35.5703579525,-346699.971523,-2.72491629296E-06,4447.4630648,162695.336279,-162689.97484,-3.27280062447E-05
35.1949354548,-97.4398299992189.876125792,24.2469901519,-46.9758285724,-348420.296618,-5.80333749989E-08,4292.10352632,163548.527384,-163543.165987,-1.11006604879E-06
